Time: 1/28/2022 1:41:50 AM, User: Client, File: hhh, DeniedAccessType: Create
Time: 1/28/2022 1:49:20 AM, User: Client, File: ggg, DeniedAccessType: Create
Time: 1/28/2022 1:50:28 AM, User: Client, File: ggg, DeniedAccessType: Create
Time: 1/28/2022 1:53:40 AM, User: Client, File: ggg, DeniedAccessType: Create
Time: 1/28/2022 2:08:34 AM, User: Client, File: nnn, DeniedAccessType: Create
Time: 1/28/2022 2:08:53 AM, User: Client, File: ttt, DeniedAccessType: Create
Time: 1/28/2022 2:08:55 AM, User: Client, File: ttt, DeniedAccessType: Create
Time: 1/28/2022 2:08:57 AM, User: Client, File: ttt, DeniedAccessType: Create
Time: 1/28/2022 2:08:58 AM, User: Client, File: ttt, DeniedAccessType: Create
Time: 1/28/2022 2:09:00 AM, User: Client, File: ttt, DeniedAccessType: Create
Time: 1/28/2022 2:20:41 AM, User: Client, File: zzz, DeniedAccessType: Create
Time: 1/28/2022 2:22:04 AM, User: Client, File: h, DeniedAccessType: Create
Time: 1/28/2022 2:22:12 AM, User: Client, File: h, DeniedAccessType: Create
Time: 1/28/2022 2:22:13 AM, User: Client, File: h, DeniedAccessType: Create
Time: 1/28/2022 2:22:14 AM, User: Client, File: h, DeniedAccessType: Create
Time: 1/28/2022 2:22:15 AM, User: Client, File: h, DeniedAccessType: Create
Time: 1/28/2022 2:36:08 AM, User: Client, File: l, DeniedAccessType: Create
Time: 1/28/2022 2:36:12 AM, User: Client, File: l, DeniedAccessType: Create
Time: 1/28/2022 2:36:15 AM, User: Client, File: l, DeniedAccessType: Create
Time: 1/28/2022 2:36:16 AM, User: Client, File: l, DeniedAccessType: Create
Time: 1/28/2022 2:36:18 AM, User: Client, File: l, DeniedAccessType: Create
Time: 1/28/2022 2:49:01 AM, User: Client, File: g, DeniedAccessType: Create
Time: 1/28/2022 2:50:32 AM, User: Client, File: j, DeniedAccessType: Create
Time: 1/28/2022 2:50:35 AM, User: Client, File: j, DeniedAccessType: Create
Time: 1/28/2022 2:50:37 AM, User: Client, File: j, DeniedAccessType: Create
Time: 2/14/2022 2:58:32 AM, User: Ana, File: , DeniedAccessType: Read
Time: 2/14/2022 2:58:51 AM, User: Ana, File: , DeniedAccessType: Read
Time: 2/14/2022 2:59:24 AM, User: Ana, File: , DeniedAccessType: Read
Time: 2/14/2022 3:03:22 AM, User: Ana, File: , DeniedAccessType: Read
Time: 2/14/2022 3:06:44 AM, User: Ana, File: , DeniedAccessType: Read
Time: 2/14/2022 3:07:29 AM, User: Ana, File: , DeniedAccessType: Read
Time: 2/14/2022 3:34:12 AM, User: Ana, File: , DeniedAccessType: Read
Time: 2/14/2022 3:38:22 AM, User: Ana, File: , DeniedAccessType: Read
Time: 2/14/2022 3:43:17 AM, User: Ana, File: , DeniedAccessType: Read
Time: 2/14/2022 3:45:24 AM, User: Ana, File: , DeniedAccessType: Read
Time: 2/14/2022 3:47:16 AM, User: Ana, File: , DeniedAccessType: Read
Time: 2/14/2022 3:48:39 AM, User: Ana, File: , DeniedAccessType: Read
Time: 2/14/2022 6:55:25 PM, User: Ana, File: g, DeniedAccessType: Read
Time: 2/14/2022 6:57:30 PM, User: Ana, File: g, DeniedAccessType: Read
Time: 2/14/2022 7:06:10 PM, User: Ana, File: b, DeniedAccessType: Read
Time: 2/14/2022 7:11:03 PM, User: Mika, File: h, DeniedAccessType: Create
Time: 2/14/2022 7:28:02 PM, User: Ana, File: g, DeniedAccessType: Read
Time: 2/14/2022 7:32:30 PM, User: Ana, File: j, DeniedAccessType: Read
Time: 2/14/2022 8:50:24 PM, User: Ana, File: h, DeniedAccessType: Read
Time: 2/14/2022 8:53:41 PM, User: Ana, File: k, DeniedAccessType: Read
Time: 2/14/2022 8:56:39 PM, User: Ana, File: g, DeniedAccessType: Read
Time: 2/14/2022 8:58:51 PM, User: Ana, File: j, DeniedAccessType: Read
Time: 2/14/2022 10:27:22 PM, User: Ana, File: f, DeniedAccessType: Read
Time: 2/14/2022 10:34:01 PM, User: Ana, File: h, DeniedAccessType: Read
Time: 2/14/2022 10:41:36 PM, User: Ana, File: l, DeniedAccessType: Read
Time: 2/14/2022 10:43:43 PM, User: Mika, File: f, DeniedAccessType: Create
Time: 2/14/2022 11:29:12 PM, User: Ana, File: h, DeniedAccessType: Read
Time: 2/14/2022 11:33:15 PM, User: Ana, File: t, DeniedAccessType: Read
Time: 2/14/2022 11:36:14 PM, User: Ana, File: t, DeniedAccessType: Read
Time: 2/14/2022 11:44:27 PM, User: Ana, File: y, DeniedAccessType: Read
Time: 2/14/2022 11:50:57 PM, User: Ana, File: y, DeniedAccessType: Read
Time: 2/15/2022 1:12:18 AM, User: Ana, File: t, DeniedAccessType: Read
Time: 2/15/2022 1:16:41 AM, User: Ana, File: r, DeniedAccessType: Read
Time: 2/15/2022 1:24:24 AM, User: Ana, File: t, DeniedAccessType: Read
Time: 2/15/2022 1:24:29 AM, User: Ana, File: t, DeniedAccessType: Read
Time: 2/15/2022 1:29:26 AM, User: Ana, File: t, DeniedAccessType: Read
Time: 2/15/2022 1:29:33 AM, User: Ana, File: r, DeniedAccessType: Read
Time: 2/15/2022 1:29:37 AM, User: Ana, File: y, DeniedAccessType: Read
Time: 2/15/2022 1:29:41 AM, User: Ana, File: r, DeniedAccessType: Read
Time: 2/15/2022 1:32:22 AM, User: Ana, File: t, DeniedAccessType: Read
Time: 2/15/2022 2:13:05 AM, User: Ana, File: r, DeniedAccessType: Read
Time: 2/15/2022 2:15:04 AM, User: Ana, File: t, DeniedAccessType: Read
Time: 2/15/2022 2:15:32 AM, User: Ana, File: t, DeniedAccessType: Read
Time: 2/15/2022 2:15:34 AM, User: Ana, File: t, DeniedAccessType: Read
Time: 2/15/2022 2:15:36 AM, User: Ana, File: t, DeniedAccessType: Read
Time: 2/15/2022 2:15:42 AM, User: Ana, File: t, DeniedAccessType: Read
Time: 2/17/2022 3:45:43 PM, User: Ana, File: g, DeniedAccessType: Read
Time: 2/17/2022 3:46:58 PM, User: Ana, File: t, DeniedAccessType: Read
Time: 2/17/2022 3:47:02 PM, User: Ana, File: h, DeniedAccessType: Read
Time: 2/17/2022 3:47:04 PM, User: Ana, File: g, DeniedAccessType: Read
Time: 2/17/2022 3:47:29 PM, User: Ana, File: h, DeniedAccessType: Read
Time: 2/17/2022 4:08:17 PM, User: Ana, File: g, DeniedAccessType: Read
Time: 2/17/2022 4:08:55 PM, User: Ana, File: r, DeniedAccessType: Read
Time: 2/17/2022 4:09:12 PM, User: Ana, File: f, DeniedAccessType: Read
Time: 2/17/2022 4:09:48 PM, User: Ana, File: t, DeniedAccessType: Read
Time: 2/17/2022 4:40:02 PM, User: Ana, File: r, DeniedAccessType: Read
Time: 2/17/2022 4:43:01 PM, User: Ana, File: y, DeniedAccessType: Read
Time: 2/17/2022 4:47:36 PM, User: Ana, File: o, DeniedAccessType: Read
Time: 2/17/2022 4:51:37 PM, User: Ana, File: f, DeniedAccessType: Read
Time: 2/17/2022 5:05:56 PM, User: Ana, File: h, DeniedAccessType: Read
Time: 2/17/2022 5:10:08 PM, User: Ana, File: 2, DeniedAccessType: Read
Time: 2/18/2022 5:51:06 PM, User: Ana, File: y.xml, DeniedAccessType: Read
Time: 2/18/2022 6:37:09 PM, User: Ana, File: t, DeniedAccessType: Read
Time: 2/19/2022 3:56:37 PM, User: Ana, File: t, DeniedAccessType: Read
Time: 2/19/2022 3:57:20 PM, User: Ana, File: t, DeniedAccessType: Read
Time: 2/19/2022 4:06:57 PM, User: Ana, File: t, DeniedAccessType: Read
Time: 2/19/2022 4:09:44 PM, User: Ana, File: t, DeniedAccessType: Read
Time: 2/19/2022 4:11:50 PM, User: Ana, File: t, DeniedAccessType: Read
Time: 2/19/2022 4:12:09 PM, User: Ana, File: t, DeniedAccessType: Read
Time: 2/19/2022 4:12:11 PM, User: Ana, File: t, DeniedAccessType: Read
Time: 2/19/2022 4:12:12 PM, User: Ana, File: t, DeniedAccessType: Read
Time: 2/19/2022 4:12:14 PM, User: Ana, File: t, DeniedAccessType: Read
Time: 2/19/2022 4:16:41 PM, User: Ana, File: t, DeniedAccessType: Read
Time: 2/19/2022 4:18:27 PM, User: Ana, File: t, DeniedAccessType: Read
Time: 2/19/2022 4:18:58 PM, User: Ana, File: y, DeniedAccessType: Read
Time: 2/19/2022 5:12:18 PM, User: Ana, File: ff.xml, DeniedAccessType: Read
Time: 2/19/2022 5:12:25 PM, User: Ana, File: ff.xml, DeniedAccessType: Read
Time: 2/19/2022 5:12:29 PM, User: Ana, File: ff.xml, DeniedAccessType: Read
Time: 2/19/2022 5:12:33 PM, User: Ana, File: ff.xml, DeniedAccessType: Read
Time: 2/19/2022 5:12:36 PM, User: Ana, File: ff.xml, DeniedAccessType: Read
Time: 2/19/2022 5:12:54 PM, User: Ana, File: gg.xml, DeniedAccessType: Read
Time: 2/19/2022 5:12:59 PM, User: Ana, File: gg.xml, DeniedAccessType: Read
Time: 2/19/2022 5:13:05 PM, User: Ana, File: gg.xml, DeniedAccessType: Read
Time: 2/19/2022 5:13:10 PM, User: Ana, File: gg.xml, DeniedAccessType: Read
Time: 2/19/2022 5:13:14 PM, User: Ana, File: gg.xml, DeniedAccessType: Read
Time: 2/19/2022 5:14:06 PM, User: Ana, File: cc.xml, DeniedAccessType: Read
